,0
0,-38987
1,-76864
2,-87866
3,-83805
4,28945
5,89426
6,-85145
7,19950
8,-69997
9,-44614
10,68686
11,-31434
12,-79942
13,42470
14,-14267
15,-26559
16,29355
17,-61397
18,70081
19,-28593
20,-71470
21,95262
22,-30229
23,-84732
24,36461
25,70219
26,-34792
27,37561
28,14509
29,-14912
30,56427
31,79091
32,-97248
33,89085
34,10810
35,23259
36,23330
37,-48360
38,99612
39,73231
40,33173
41,92236
42,-55572
43,-53859
44,-19616
45,-28929
46,-99864
47,25885
48,-72883
49,78846
50,51593
51,97706
52,-69121
53,-78056
54,56310
55,87404
56,-82250
57,74505
58,15030
59,95150
60,51518
61,-39873
62,27674
63,-27152
64,62613
65,70619
66,69891
67,-23009
68,91664
69,67700
70,36830
71,84018
72,-21736
73,-74585
74,-85711
75,25973
76,-24130
77,95465
78,2526
79,-58533
80,-8537
81,77219
82,-14752
83,-88290
84,68766
85,68413
86,64420
87,23112
88,65463
89,-32398
90,74533
91,44398
92,-92575
93,-50840
94,-8835
95,-59356
96,-46938
97,60530
98,17510
99,44913
100,97916
101,-57622
102,47211
103,-43831
104,-6776
105,16532
106,-55118
107,97498
108,15813
109,-69993
110,-19282
111,98716
112,-63357
113,40047
114,-66625
115,-5889
116,-64873
117,-43749
118,-14597
119,77942
120,52352
121,76963
122,-48807
123,-20302
124,62189
125,91775
126,73953
127,23164
128,20747
129,10416
130,7321
131,-64687
132,9919
133,-40780
134,72657
135,50598
136,-16152
137,1683
138,-11214
139,24570
140,29307
141,-9968
142,-92051
143,-97841
144,-85555
145,-88922
146,-75507
147,37403
148,73114
149,60549
150,-17700
151,-65390
152,81125
153,-54389
154,-84209
155,-28894
156,-13672
157,-64419
158,15160
159,67297
160,95475
161,-88545
162,22254
163,43068
164,2264
165,-97579
166,-46810
167,-95432
168,-30907
169,-42267
170,-14539
171,-59227
172,69840
173,78603
174,-87924
175,-11146
176,8486
177,-22993
178,2548
179,17917
180,68353
181,48472
182,11800
183,-90072
184,-58774
185,98441
186,16761
187,37048
188,-9954
189,46652
190,-28591
191,-489
192,-41009
193,-19694
194,8820
195,28840
196,71140
197,-12738
198,46479
199,-81769
200,1304
201,30330
202,3018
203,-14826
204,-32686
205,67357
206,57112
207,-94396
208,48260
209,-82434
210,-15072
211,-41891
212,-57696
213,-82788
214,-36681
215,66878
216,68589
217,67190
218,-11109
219,18308
220,-39707
221,-29159
222,8409
223,-63309
224,61551
225,80580
226,72727
227,64344
228,45052
